,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
180,31735061540716,"""Somebody Had to Say 'the emperor wears no clothes'""",,,,University of Pittsburgh,8,68,text,archival document
181,31735061538769,"The Class Mark,",,1935-11,,University of Pittsburgh,13,68,text,archival document
182,31735061537928,"Labor Unity, What AFL-CIO Merger Means for Workers, By George Morris,",,1955-03,,University of Pittsburgh,6,41,text,archival document
183,31735061655852,"Africa Fights for Freedom, by Alphaeus Hunton,",,1950-03,,University of Pittsburgh,1,31,text,archival document
184,31735066228804,"""The Decline of American Radicalism in the Twentieth Century"", By Gabriel Kolko",,,,University of Pittsburgh,7,118,text,archival document
185,31735061537423,"Exhibit of Soviet Literature Shown Before the DIES Committee,",,1938-08-19,,University of Pittsburgh,4,130,still image,archival document
186,31735068355100,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1963-08,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
187,31735047450964,"""What a Good Boy Am I"" Pamphlet",,,,University of Pittsburgh,,99,text,archival document
188,31735061659375,Photograph of a Man Observing a Guarded Wall of Leftist Leaflets,,,,University of Pittsburgh,4,167,text,archival document
189,31735065150207,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1959-11,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
190,31735061658906,"""Students Take A Stand"", An Account of Student Conferences in Washington During Christmas Week, 1933",,,,University of Pittsburgh,4,1,text,archival document
191,31735061544601,"New York Regional Newsletter,",,1964-02-14,,University of Pittsburgh,11,173,text,archival document
192,31735061659391,"""Our Generation is in Danger""",,,,University of Pittsburgh,4,5,text,archival document
193,31735047450980,"""Farmer - Labor Teamwork"" Booklet",,,,University of Pittsburgh,,101,text,archival document
194,31735061656140,"The Road to Negro Liberation, Report to the Eighth Convention of the Communist Party of the U.S.A., by Harry Haywood,",,1934-06,,University of Pittsburgh,1,41,text,archival document
195,31735061538470,"Next- A Labor Party!, By Jack Ranger,",,1948-12,,University of Pittsburgh,11,123,text,archival document
